In 1781 we discovered 1 small planets, 0 medium planets, and 0 large planets.
In 1846 we discovered 1 small planets, 0 medium planets, and 0 large planets.
In 1930 we discovered 1 small planets, 0 medium planets, and 0 large planets.
In 1999 we discovered 0 small planets, 1 medium planets, and 0 large planets.
In 2001 we discovered 1 small planets, 0 medium planets, and 0 large planets.
In 2002 we discovered 0 small planets, 1 medium planets, and 0 large planets.
In 2004 we discovered 2 small planets, 5 medium planets, and 0 large planets.
In 2005 we discovered 1 small planets, 3 medium planets, and 0 large planets.
In 2006 we discovered 1 small planets, 6 medium planets, and 0 large planets.
In 2007 we discovered 4 small planets, 16 medium planets, and 0 large planets.
In 2008 we discovered 1 small planets, 20 medium planets, and 1 large planets.
In 2009 we discovered 4 small planets, 6 medium planets, and 0 large planets.
In 2010 we discovered 15 small planets, 38 medium planets, and 0 large planets.
In 2011 we discovered 32 small planets, 48 medium planets, and 1 large planets.
In 2012 we discovered 52 small planets, 20 medium planets, and 0 large planets.
In 2013 we discovered 58 small planets, 30 medium planets, and 2 large planets.
In 2014 we discovered 830 small planets, 30 medium planets, and 0 large planets.
In 2015 we discovered 104 small planets, 29 medium planets, and 0 large planets.
In 2016 we discovered 1267 small planets, 26 medium planets, and 0 large planets.
